linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
ja-ja-i-nwa-za	jajainwaza	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
ja-ja-j	jajaj	xuːʃ	-7.6985	xuːʃ (-7.70); uːxːi (-8.44); uxːi (-9.08)	5
ja-ja-ja	jajaja	xuːʃ	-11.2009	xuːʃ (-11.20); uːxːi (-11.92); uxːi (-12.57)	6
ja-ja-ja-w	jajajaw	xuːʃ	-14.7009	xuːʃ (-14.70); uːxːi (-15.38); uxːi (-16.05)	7
ja-ja-ja-wa	jajajawa	xuːʃ	-18.1984	xuːʃ (-18.20); uːxːi (-18.82); uxːi (-19.51)	8
ja-ja-s	jajas	uːxːi	-8.4477	uːxːi (-8.45); uxːi (-9.09); xʃap (-10.23)	5
ja-ja-sa	jajasa	uːxːi	-11.9436	uːxːi (-11.94); uxːi (-12.58); xʃap (-13.55)	6
ja-ja-sa-s	jajasas	xʃap	-12.9597	xʃap (-12.96); uːxːi (-14.09); xapa (-14.31)	7
ja-ja-sa-sa	jajasasa	xʃap	-16.4623	xʃap (-16.46); uːxːi (-17.59); xapa (-17.81)	8
ja-ja-sa-sa-r	jajasasar	xʃap	-18.8899	xʃap (-18.89); xapa (-19.75); ʃuːpːari (-19.83)	9
ja-ja-sa-sa-ra	jajasasara	xʃap	-22.3953	xʃap (-22.40); ʃuːpːari (-23.12); xapa (-23.25)	10
ja-ja-w	jajaw	eːʃ	-11.2315	eːʃ (-11.23); aʃ (-11.89); xuːʃ (-12.12)	5
ja-ja-wa	jajawa	eːʃ	-14.7318	eːʃ (-14.73); aʃ (-15.39); xuːʃ (-15.40)	6
ja-re-d	jared	uk	-12.9757	uk (-12.98); 𒌷𒄩𒀜𒋾 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20)	5
ja-re-di	jaredi	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
ja-re-di-j	jaredij	xuːʃ	-13.651	xuːʃ (-13.65); apːa (-16.11); eːʃ (-16.19)	7
ja-re-di-ja	jaredija	xuːʃ	-17.157	xuːʃ (-17.16); apːa (-19.62); eːʃ (-19.70)	8
ja-re-t	jaret	uk	-12.9757	uk (-12.98); 𒌷𒄩𒀜𒋾 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20)	5
ja-re-ta	jareta	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
ja-sa-s	jasas	apːa	-10.173	apːa (-10.17); xapa (-11.25); xatːi (-11.54)	5
ja-sa-sa	jasasa	apːa	-13.6588	apːa (-13.66); xapa (-14.56); xatːi (-15.03)	6
ja-sa-sa-r	jasasar	xapa	-14.3163	xapa (-14.32); apːa (-15.42); ʃuːpːari (-15.63)	7
ja-sa-sa-ra	jasasara	xapa	-17.8133	xapa (-17.81); ʃuːpːari (-18.74); apːa (-18.92)	8
ja-sa-sa-ra-m	jasasaram	xapa	-21.3105	xapa (-21.31); ʃuːpːari (-21.95); apːa (-22.42)	9
ja-sa-sa-ra-ma	jasasarama	xapa	-24.8077	xapa (-24.81); ʃuːpːari (-25.19); 𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59)	10
ja-sa-sa-ra-me	jasasarame	xapa	-24.8077	xapa (-24.81); ʃuːpːari (-25.19); 𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59)	10
ja-sa-u	jasau	xus	-8.3811	xus (-8.38); ais (-9.75); xaːras (-10.99)	5
ja-sa-u-n	jasaun	xus	-11.8882	xus (-11.89); ais (-13.26); xatːi (-14.00)	6
ja-sa-u-na	jasauna	xus	-15.3953	xus (-15.40); xatːi (-16.72); ais (-16.76)	7
ja-sa-u-na-k	jasaunak	xus	-18.9024	xus (-18.90); xatːi (-19.67); iːsˤaː́ (-20.11)	8
ja-sa-u-na-ka	jasaunaka	xus	-22.4095	xus (-22.41); iːsˤaː́ (-22.62); xatːi (-22.74)	9
ja-sa-u-na-ka-n	jasaunakan	iːsˤaː́	-25.328	iːsˤaː́ (-25.33); 𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); xatːi (-25.88)	10
ja-se-k	jasek	uk	-12.9757	uk (-12.98); 𒌷𒄩𒀜𒋾 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20)	5
ja-se-ka	jaseka	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
ja-se-ka-n	jasekan	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒀀𒀝𒉌𒅖 (-18.37)	7
ja-se-ka-na	jasekana	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒈪𒋫𒀭𒉌 (-21.21)	8
ja-se-ka-na-s	jasekanas	apːa	-22.6148	apːa (-22.61); 𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
ja-se-ka-na-si	jasekanasi	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); apːa (-26.12); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
ja-ta-i	jatai	𒀀𒀝𒉌𒅖	-13.1999	𒀀𒀝𒉌𒅖 (-13.20); 𒈪𒋫𒀭𒉌 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
ja-ta-i-*301	jataiΘ	𒌷𒄩𒀜𒋾	-15.6764	𒌷𒄩𒀜𒋾 (-15.68); 𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
