linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-ru-te-i-di	iruteidi	bilia	-17.4899	bilia (-17.49); aran (-19.60); ai (-19.94)	8
i-te-si	itesi	ai	-10.5135	ai (-10.51); ma (-10.52); apa (-12.57)	5
i-te-si-r	itesir	tabara	-13.8424	tabara (-13.84); tabaras (-13.90); bilia (-13.98)	6
i-te-si-ra	itesira	tabara	-16.6858	tabara (-16.69); tabaras (-16.70); bilia (-16.79)	7
i-te-te	itete	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-te-te-r	iteter	aran	-17.4678	aran (-17.47); ai (-19.07); epi (-19.15)	6
i-te-te-re	itetere	aran	-20.281	aran (-20.28); ai (-22.45); epi (-22.49)	7
i-te-te-re-p	iteterep	artorres	-23.238	artorres (-23.24); zis (-23.35); aran (-23.37)	8
i-tu-ja	ituja	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-tu-ja-s	itujas	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
i-*301-ti-j	iΘtij	ai	-10.5135	ai (-10.51); epi (-12.83); apa (-12.83)	5
i-*301-ti-ja	iΘtija	ai	-14.0198	ai (-14.02); epi (-16.32); apa (-16.32)	6
i-*301-ti-ja-s	iΘtijas	ai	-17.5262	ai (-17.53); apa (-19.81); epi (-19.81)	7
i-*301-ti-ja-sa	iΘtijasa	ai	-21.0325	ai (-21.03); apa (-23.29); epi (-23.29)	8
i-*301-ti-ja-sa-s	iΘtijasas	ai	-24.5388	ai (-24.54); apa (-26.78); epi (-26.78)	9
i-*301-ti-ja-sa-sa	iΘtijasasa	ai	-28.0451	ai (-28.05); apa (-30.27); epi (-30.27)	10
i-*301-u-ja	iΘuja	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-*301-u-ti	iΘuti	ai	-10.5135	ai (-10.51); apa (-12.57); epi (-12.57)	5
i-*301-u-ti-n	iΘutin	ai	-14.0198	ai (-14.02); epi (-16.06); apa (-16.06)	6
i-*301-u-ti-nu	iΘutinu	ai	-17.5262	ai (-17.53); epi (-19.55); apa (-19.55)	7
i-*301-u-ti-nu-j	iΘutinuj	ai	-21.0325	ai (-21.03); epi (-23.04); apa (-23.04)	8
i-*301-u-ti-nu-ja	iΘutinuja	ai	-24.5388	ai (-24.54); epi (-26.54); apa (-26.54)	9
i-*301-u-ti-nu-ja-s	iΘutinujas	ai	-28.0451	ai (-28.05); apa (-30.03); epi (-30.03)	10
